T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
30429, 244, -803, 514, 37520, -41160, 67200
30449, 117, -887, 513, 24710, -33390, 89390
30469, 92, -846, 480, -2590, -8470, 114520
30489, -4, -952, 487, -22400, -1820, 115430
30509, 12, -878, 442, -8400, -28140, 99330
30529, -11, -871, 489, 13930, -40670, 91770
30549, 6, -814, 536, 22960, -14140, 84910
30569, 31, -813, 552, 15890, 1400, 60340
30589, 36, -884, 547, -23100, 350, 43820
30609, 63, -858, 438, -77000, -7700, 35000
30629, -20, -958, 314, -138250, -22820, 55300
30649, -34, -865, 194, -172270, -5530, 132860
30669, -160, -920, 200, -164500, 31850, 204750
30689, -308, -1060, 215, -122080, 50610, 222040
30709, -377, -1182, 268, -41020, 10010, 158830
30729, -277, -1199, 323, 35770, -66150, 29610
30749, -175, -1214, 308, 58870, -114590, -81060
30769, -250, -1239, 266, -4690, -67900, -79660
30789, -339, -1183, 236, -60270, 23660, 0
30809, -312, -1037, 223, -38570, 51170, 18970
30829, -213, -872, 216, 27720, 7420, -59220
30849, -56, -749, 182, 62790, -36820, -158830
30869, 24, -713, 151, 43260, -33530, -206780
30889, 6, -763, 120, 10290, 25200, -163100
30909, -88, -851, 140, -5180, 113470, -61460
30929, -218, -952, 194, 21070, 189630, 35700
30949, -288, -1030, 260, 68740, 223230, 77140
30969, -270, -1078, 305, 105840, 208040, 38920
30989, -215, -1118, 282, 104160, 176470, -38010
31009, -190, -1128, 252, 58660, 172410, -84560
31029, -252, -1131, 236, 20580, 203910, -65100
31049, -290, -1062, 262, 17500, 241080, -7490
31069, -254, -958, 268, 47460, 240240, 12950
31089, -188, -878, 256, 59430, 205940, -26950
31109, -109, -841, 216, 33040, 171990, -80990
31129, -89, -871, 185, -9450, 157430, -106190
31149, -155, -952, 201, -38640, 167300, -76370
31169, -242, -1024, 247, -32060, 187530, -6160
31189, -332, -1062, 316, 18200, 158690, 39830
31209, -305, -1041, 316, 2240, 98070, -36680
31229, -219, -996, 264, -37520, 36960, -130200
31249, -140, -970, 215, -65310, 6790, -168980
31269, -136, -977, 204, -59360, 10500, -137690
31289, -212, -981, 237, -29470, 28980, -74690
31309, -258, -976, 265, -10220, 31010, -54810
31329, -259, -985, 262, -19250, 10010, -98490
31349, -191, -995, 221, -41440, -17570, -169750
31369, -130, -1014, 195, -42630, -23170, -202860
31389, -143, -1035, 207, -15890, 9450, -162820
31409, -251, -1047, 269, 18900, 60410, -95200
31429, -290, -1043, 268, 27090, 89880, -82390
31449, -243, -985, 235, 10780, 82950, -148050
31469, -136, -902, 182, 3920, 67830, -224140
31489, -64, -831, 157, 13510, 79660, -245210
31509, -66, -801, 155, 35490, 126630, -196280
31529, -114, -806, 166, 51100, 186340, -120680
31549, -158, -827, 188, 61040, 231210, -66010
31569, -162, -838, 196, 67620, 248920, -48440
31589, -126, -841, 209, 68950, 245490, -57260
31609, -106, -882, 213, 62090, 242620, -55930
31629, -135, -952, 230, 38990, 259770, -15330
31649, -235, -1047, 268, 11270, 291900, 57540
31669, -323, -1153, 299, -21210, 315560, 124180
31689, -361, -1235, 339, -48650, 302190, 140910
31709, -345, -1312, 346, -66990, 254240, 112980
31729, -345, -1358, 366, -92400, 203490, 87080
31749, -447, -1422, 369, -126980, 177940, 108150
31769, -492, -1403, 373, -170660, 162190, 155260
31789, -421, -1295, 370, -190260, 101290, 153790
31809, -304, -1204, 322, -186970, 0, 100380
31829, -248, -1145, 284, -184170, -78610, 79590
31849, -309, -1179, 251, -200340, -108150, 122290
31869, -399, -1210, 280, -223300, -112490, 202300
31889, -392, -1196, 289, -205870, -144060, 251230
31909, -355, -1163, 271, -180040, -207690, 234990
31929, -302, -1117, 236, -171360, -265510, 200130
31949, -299, -1075, 216, -169820, -298550, 185010
31969, -306, -1011, 200, -155540, -310100, 202720
31989, -285, -926, 192, -126140, -325220, 213010
32009, -234, -829, 181, -89390, -355670, 185710
32029, -166, -756, 147, -62300, -390740, 129780
32049, -106, -701, 119, -62580, -411810, 76300
32069, -72, -664, 107, -65660, -409430, 55510
32089, -76, -667, 116, -47950, -346850, 92330
32109, -102, -682, 156, -35280, -305130, 114730
32129, -134, -722, 201, -46620, -266630, 113680
32149, -153, -810, 213, -95410, -232470, 86520
32169, -161, -915, 214, -152180, -196630, 53410
32189, -186, -1048, 206, -187950, -150920, 37730
32209, -259, -1197, 253, -190190, -94990, 50680
32229, -355, -1284, 320, -172900, -40600, 69440
32249, -436, -1382, 328, -193340, 4970, 53060
32269, -425, -1391, 346, -224280, 28560, -8120
32289, -364, -1423, 274, -258230, 46900, -82180
32309, -327, -1391, 293, -255640, 73710, -113540
32329, -381, -1425, 302, -223720, 119140, -84560
32349, -454, -1471, 339, -222320, 176750, -56910
32369, -501, -1529, 317, -229670, 211960, -77280
32389, -438, -1486, 296, -230230, 222040, -142100
32409, -373, -1398, 289, -189070, 224000, -197190
32429, -400, -1458, 295, -154140, 258370, -203630
32449, -510, -1503, 286, -121730, 314720, -169960
32469, -455, -1357, 270, -108780, 351890, -186340
32489, -383, -1209, 217, -58240, 340550, -264320
32509, -267, -1021, 190, -12390, 334250, -333970
32529, -203, -876, 164, 34440, 350210, -368410
32549, -163, -767, 120, 50680, 394940, -362180
32569, -134, -652, 112, 63140, 444010, -345870
32589, -105, -575, 86, 82530, 486360, -325010
32609, -89, -497, 86, 89180, 524370, -296870
32629, -74, -437, 104, 93030, 557970, -258230
32649, -59, -402, 122, 76510, 583380, -211890
32669, -54, -403, 143, 28000, 598290, -166810
32689, -70, -474, 147, -45290, 604660, -119420
32709, -76, -581, 151, -135730, 601160, -73570
32729, -98, -763, 137, -215250, 584500, -41860
32749, -199, -1059, 140, -261800, 562660, -8890
32769, -523, -1519, 289, -252840, 540400, 45360
32789, -925, -1921, 479, -181580, 500780, 113680
32809, -903, -1663, 539, -110040, 401170, 117880
32829, -601, -1655, 391, -120750, 224070, -71680
32849, -490, -1998, 299, -223440, 52990, -361130
32869, -773, -1998, 352, -323470, 67060, -358890
32889, -1185, -1845, 590, -282660, 140280, -33180
32909, -682, -1302, 419, -116200, 65030, 160020
32929, -306, -1040, 305, -178570, -145040, -196280
32949, -20, -1111, 59, -334180, -256340, -491120
32969, -155, -1070, 151, -411040, -233520, -411950
32989, -373, -1043, 330, -102060, -144690, 196350
33009, -527, -1070, 427, -132300, -178500, 207060
33029, -460, -1065, 349, -272440, -242480, 56840
33049, -290, -1141, 114, -424270, -295050, -88480
33069, -273, -1149, 57, -404880, -330610, -63840
33089, -240, -971, 122, -189630, -387800, 53620
33109, -238, -797, 208, -14630, -439390, 122570
33129, -218, -606, 249, -6160, -456750, 115220
33149, -164, -521, 142, -117950, -468440, 58100
33169, -116, -500, 39, -235900, -479990, 16100
33189, -127, -534, -13, -255780, -487410, 16030
33209, -128, -541, -15, -178780, -497560, 22820
33229, -122, -556, -4, -65310, -513310, 8190
33249, -93, -547, 66, 36330, -525420, -24290
33269, -30, -558, 172, 82810, -516740, -50050
33289, 33, -665, 256, 24360, -465850, -38640
33309, -90, -987, 271, -136430, -345240, 49980
33329, -723, -1628, 291, -317660, -169400, 208880
33349, -1195, -1998, 360, -392980, -69020, 293020
33369, -1053, -1916, 553, -278320, -195370, 124250
33389, -454, -1533, 259, -242760, -351050, -198800
33409, -294, -1421, 86, -418600, -273000, -340340
33429, -374, -1248, 173, -396060, -152390, -176540
33449, -323, -1123, 222, -276500, -97930, -45500
33469, -310, -1170, 291, -223370, -67970, -56420
33489, -376, -1450, 214, -256130, -4900, -89880
33509, -475, -1796, 134, -363020, 111020, -109410
33529, -679, -1820, 308, -305060, 185710, -59640
33549, -712, -1604, 413, -121240, 193830, 26460
33569, -559, -1387, 318, -80570, 195790, -43470
33589, -313, -1190, 144, -171150, 214410, -237370
33609, -155, -988, 83, -200760, 242130, -372750
33629, -121, -832, 76, -102200, 284270, -365330
33649, -151, -695, 117, 3710, 359730, -289520
33669, -186, -632, 106, 58170, 441140, -237020
33689, -176, -588, 69, 47460, 505820, -237650
33709, -127, -511, 41, 32200, 544810, -282030
33729, -67, -438, 27, 54250, 569940, -323890
33749, -36, -367, 50, 88760, 601580, -321580
33769, -50, -338, 113, 102550, 647920, -264180
33789, -117, -418, 122, 63420, 705460, -169400
33809, -145, -522, 104, -47880, 758030, -72520
33829, -171, -671, 94, -181020, 775250, -35770
33849, -188, -892, 68, -275170, 758380, -46550
33869, -253, -1161, 129, -298550, 719180, -70630
33889, -646, -1739, 322, -114450, 652820, 23800
33909, -1552, -1998, 540, -81410, 636510, 133420
33929, -1841, -1998, 564, -96670, 517790, 15540
33949, -949, -1802, 402, -43120, 214970, -388150
33969, -354, -1133, 350, 7280, -1190, -605710
33989, -134, -917, 261, -79030, 1050, -543970
34009, -134, -927, 217, -176050, 70560, -377370
34029, -278, -1155, 234, -211470, 95970, -239540
34049, -504, -1488, 314, -166530, 73360, -126070
34069, -712, -1796, 464, -84770, 6160, -60060
34089, -952, -1941, 535, -86800, -46410, -47320
34109, -728, -1552, 344, -204750, -78680, -133700
34129, -519, -1147, 244, -267820, -174300, -278740
34149, -231, -828, 146, -223580, -297150, -352030
34169, -68, -667, 96, -166740, -383810, -342510
34189, -36, -564, 111, -131110, -402080, -237020
34209, -15, -504, 95, -114940, -393610, -106960
34229, -47, -493, 83, -119770, -389830, 5180
34249, -109, -506, 98, -112770, -395360, 101010
34269, -153, -528, 100, -87430, -415730, 158900
34289, -169, -563, 88, -64330, -457240, 163520
34309, -179, -606, 78, -43190, -509110, 134540
34329, -170, -637, 82, -12950, -556360, 96250
34349, -141, -691, 82, 14560, -590100, 59360
34369, -130, -773, 115, 25620, -597800, 42840
34389, -174, -860, 202, 30310, -572600, 61110
34409, -292, -1014, 278, 9730, -519400, 96110
34429, -483, -1237, 329, -65170, -453460, 116060
34449, -687, -1495, 369, -164780, -401870, 84840
34469, -741, -1712, 284, -254520, -384090, -9310
34489, -673, -1579, 388, -300790, -399140, -128590
34509, -593, -1611, 279, -250740, -427980, -176820
34529, -551, -1428, 370, -279510, -382900, -179550
34549, -569, -1514, 241, -304430, -318220, -154840
34569, -521, -1554, 275, -388430, -230790, -160300
34589, -540, -1673, 250, -363930, -189490, -159460
34609, -565, -1688, 367, -311220, -144410, -127260
34629, -705, -1766, 341, -275660, -81200, -89950
34649, -572, -1578, 284, -310030, 8610, -75390
34669, -467, -1412, 208, -312480, 45570, -134190
34689, -312, -1189, 207, -232820, 44240, -180600
34709, -245, -1063, 185, -176890, 77210, -202930
34729, -256, -1021, 128, -147840, 142310, -201530
34749, -231, -914, 130, -152880, 227220, -200060
34769, -186, -830, 79, -99750, 280770, -246540
34789, -150, -692, 79, 42070, 369530, -263900
34809, -118, -577, 92, 102830, 418530, -272790
34829, -92, -515, 66, 103740, 483280, -267400
34849, -85, -470, 45, 86940, 550690, -247240
34869, -79, -422, 49, 71890, 615020, -212800
34889, -51, -422, 15, 44660, 671370, -174510
34909, -84, -393, 57, 8120, 727370, -117740
34929, -151, -493, 81, -49350, 781410, -42840
34949, -189, -620, 86, -130130, 812560, 2170
34969, -257, -833, 102, -201530, 818160, 13930
34989, -393, -1183, 115, -234150, 797510, 5180
35009, -650, -1684, 253, -182770, 749070, -3990
35029, -1182, -1998, 468, -72800, 675640, 17640
35049, -1675, -1998, 584, -19950, 594300, 21420
35069, -1079, -1975, 409, -42350, 457170, -167020
35089, -574, -1290, 354, 4270, 218610, -473620
35109, -200, -940, 313, 24360, 85540, -586250
35129, -154, -931, 278, -56420, 91070, -526960
35149, -261, -1154, 202, -159460, 170450, -348600
35169, -376, -1423, 252, -174720, 194390, -201460
35189, -783, -1798, 430, -76440, 142380, -100940
35209, -942, -1967, 565, 6650, 56140, -59920
35229, -837, -1691, 434, -28280, -22260, -130200
35249, -527, -1291, 240, -164010, -73010, -272440
35269, -343, -967, 198, -189910, -177800, -380310
35289, -134, -739, 135, -119770, -279720, -372750
35309, -54, -624, 128, -78400, -344680, -318570
35329, -57, -544, 156, -72520, -360010, -214270
35349, -53, -506, 119, -91000, -354620, -96600
35369, -91, -527, 90, -131110, -362390, -3850
35389, -145, -561, 88, -149380, -382620, 70490
35409, -172, -578, 86, -120330, -417410, 119140
35429, -167, -607, 63, -72870, -469700, 122920
35449, -157, -629, 63, -30940, -528150, 101220
35469, -140, -665, 76, 15330, -571970, 85190
35489, -127, -728, 98, 56560, -593950, 79590
35509, -178, -816, 162, 74690, -589260, 92050
35529, -280, -953, 233, 72730, -558810, 123690
35549, -427, -1153, 287, 40040, -517860, 139510
35569, -617, -1428, 338, -31010, -483560, 113260
35589, -714, -1625, 315, -118510, -465010, 41230
35609, -687, -1610, 284, -195370, -463680, -57820
35629, -627, -1627, 263, -211820, -479430, -134890
35649, -548, -1390, 287, -190680, -489720, -170590
35669, -476, -1404, 232, -216860, -462980, -228480
35689, -558, -1488, 298, -316960, -338240, -185850
35709, -556, -1602, 245, -341880, -265790, -156660
35729, -547, -1579, 346, -269640, -236250, -129290
35749, -613, -1659, 323, -292460, -153510, -106680
35769, -605, -1562, 337, -309400, -88550, -120680
35789, -474, -1452, 185, -336000, -33880, -165970
35809, -342, -1221, 244, -233030, -32900, -189770
35829, -284, -1128, 173, -173530, 13300, -177030
35849, -224, -1026, 140, -151620, 88340, -169820
35869, -212, -914, 155, -103950, 154210, -162540
35889, -227, -884, 114, -90370, 218260, -181860
35909, -144, -746, 103, -52080, 264950, -238000
35929, -94, -654, 62, 12320, 314510, -262360
35949, -84, -584, 30, 50400, 385070, -250250
35969, -72, -484, 61, 91280, 462630, -223440
35989, -87, -504, 32, 101780, 540890, -187950
36009, -100, -450, 26, 73150, 614740, -147560
36029, -120, -447, 50, 53760, 679280, -103600
36049, -147, -511, 45, 25900, 728000, -68320
36069, -146, -561, 74, -25270, 762860, -38850
