T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
44934, 180, -858, 417, -33460, -19040, 1750
44954, 180, -846, 447, -27020, -1890, -6090
44974, 212, -857, 513, -10360, 10990, -7210
44994, 188, -882, 526, -4340, 13020, -2520
45014, 151, -887, 550, -5250, 3290, 3780
45034, 130, -886, 510, -9240, -5250, 3850
45054, 163, -881, 499, -17500, -14070, 490
45074, 152, -891, 480, -23520, -12950, -280
45094, 141, -926, 536, -29330, -10710, 5320
45114, 85, -930, 528, -34020, -8610, 10430
45134, 54, -914, 433, -44940, -4200, 9520
45154, 9, -932, 396, -57330, 1470, 840
45174, 61, -911, 381, -55160, 70, -13790
45194, 193, -910, 381, -45500, -420, -37520
45214, 216, -887, 327, -37520, -6580, -54670
45234, 226, -897, 333, -34650, -8400, -56140
45254, 295, -905, 364, -27510, -7770, -52360
45274, 431, -898, 358, -21420, -7070, -52570
45294, 449, -921, 341, -19950, -13720, -57820
45314, 430, -922, 353, -19530, -19880, -51450
45334, 422, -913, 366, -18060, -19250, -36820
45354, 409, -927, 450, -19110, -11480, -25410
45374, 333, -874, 315, -21560, -20160, -18690
45394, 282, -909, 94, -80290, -14700, 2800
45414, 265, -944, 129, -151550, 3850, 33110
45434, 339, -925, 259, -128660, 10990, 41860
45454, 342, -961, 99, -97860, 6300, 34020
45474, 245, -923, 15, -105070, 3850, 36260
45494, 238, -989, 56, -79590, 30450, 45710
45514, 158, -1086, -30, -60620, 32340, 50610
45534, -39, -1366, -96, -49490, 23450, 47880
45554, 147, -846, 150, -77140, -66920, 65870
45574, -108, -1164, -22, -117250, -162960, 96460
45594, 51, -1208, -127, -111860, -112000, 88550
45614, 148, -1119, -46, -123410, -130620, 100170
45634, 157, -1039, -327, -103880, -109830, 99960
45654, 179, -883, -276, -83370, -49280, 66290
45674, 118, -839, -388, -68460, 15890, 25270
45694, -47, -866, -124, -65030, 99120, -2450
45714, -49, -1020, -107, -54250, 119210, -18060
45734, 52, -946, -148, -43750, 69230, -27510
45754, 66, -989, -295, -25690, -2940, -26460
45774, 50, -933, -349, -6930, 5740, -19460
45794, -57, -931, -255, 70, 44660, -8750
45814, -58, -912, -317, 9450, 56420, 1820
45834, -60, -962, -242, 2590, 26460, 2660
45854, -9, -823, -208, -11900, 3360, -2730
45874, -2, -661, -202, -28350, -70980, 1960
45894, 144, -776, -418, -18130, -171430, 16310
45914, -59, -808, -449, 34860, -105000, 14490
45934, -221, -1018, -1106, 75600, 101640, -3920
45954, -57, -1488, -44, 175700, 233870, -55860
45974, 324, -1413, 213, 191100, 292320, -94430
45994, 505, -1023, 243, -24010, 83510, -64470
46014, 413, -837, 387, -87430, -183260, 22820
46034, 169, -951, 77, -29960, -247310, 97300
46054, -24, -1089, -161, -49700, -136710, 103530
46074, -85, -1086, -211, -27370, 35840, 35210
46094, 148, -970, -384, 14000, 138390, -46900
46114, 260, -1048, -575, 6370, 74410, -85820
46134, 200, -1043, -437, -3640, -23310, -54250
46154, -159, -924, -209, -1400, 51520, -19950
46174, 230, -999, -175, -27020, 44100, -7910
46194, 89, -1003, -4, -29190, -8470, 1260
46214, 97, -983, -5, -350, 115360, 280
46234, 177, -937, -107, -2100, 83230, -12670
46254, 217, -903, -183, -7140, -27790, -21840
46274, 158, -916, -184, -3500, -29260, -24990
46294, -357, -1345, 575, 490, 18620, -20930
46314, 95, -1010, -53, 5250, 34930, -17150
46334, 259, -825, -398, -1540, -96670, -12250
46354, 233, -838, -397, -32410, -176190, 5250
46374, 92, -781, -383, 980, -133280, 27300
46394, 178, -901, -566, 2450, -42840, 30380
46414, -65, -1109, -117, -5390, 15050, 6440
46434, -40, -1219, 20, -15610, -5390, -9030
46454, 128, -1055, -206, -58030, -175350, 4410
46474, 282, -953, -357, -41370, -174930, 23870
46494, 205, -990, -462, 20930, 103390, 24430
46514, 108, -969, -145, 26530, 322000, 7070
46534, 164, -996, -246, -3080, 175910, -10640
46554, 217, -1197, -402, -41790, -18410, 560
46574, -102, -1038, -106, -14980, 18690, 7350
46594, 132, -924, -186, 13440, 145740, -6230
46614, 0, -931, -86, 8400, 118510, -21770
46634, 25, -966, -153, 13440, 75390, -21000
46654, 135, -968, -219, 5460, 1400, -10430
46674, 142, -978, -306, -8120, -63490, 5600
46694, 139, -980, -345, -13230, -76510, 17080
46714, 146, -998, -309, -7350, -39550, 12390
46734, -29, -967, -175, -1050, -10220, 2380
46754, 117, -991, -220, -7000, -15540, -1820
46774, 169, -994, -220, -4620, -56770, 3360
46794, 130, -994, -241, -4690, -31640, 9870
46814, 69, -976, -218, -6580, -14910, 10290
46834, 36, -963, -258, -2030, -24920, 5320
46854, 56, -988, -232, -2730, -35630, -1540
46874, 64, -946, -240, 140, -25550, -4410
46894, 85, -952, -249, 1260, -19670, -1470
46914, 192, -983, -358, -1330, -31920, 2800
46934, 162, -995, -369, -2870, -47740, 8190
46954, 36, -964, -217, -2590, -9520, 10010
46974, 78, -1000, -302, 140, 4690, 5670
46994, 53, -955, -225, -2800, -24010, 1470
47014, 124, -1063, -198, 6790, 22540, -6020
47034, 181, -1032, -284, 8050, 41580, -7210
47054, 151, -984, -275, 5320, 29470, -4690
47074, 180, -1000, -269, 8050, 44940, -5670
47094, 132, -973, -231, 6860, 55230, -9800
