T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
16220, -613, -545, 590, -2800, -2660, -6720
16240, -620, -554, 582, -4340, -2100, -8330
16260, -608, -585, 589, -5460, -840, -7070
16280, -592, -550, 576, -5530, 630, -1260
16300, -595, -552, 551, -3710, -1960, -5040
16320, -575, -602, 540, -4620, -2940, -10150
16340, -571, -587, 467, -7560, -5600, -14980
16360, -554, -609, 417, -7070, -11480, -29400
16380, -402, -624, 373, -11690, -23870, -47740
16400, -280, -953, 541, -16940, -29820, -57610
16420, -420, -1092, 391, 24500, 1680, -58800
16440, -612, -1194, 435, 133280, -141330, -38780
16460, -254, -802, 128, 147840, -478240, 84420
16480, -132, -595, 114, -135030, -533960, -101080
16500, -90, -543, -21, -358470, -456680, -214130
16520, -50, -512, -75, -410410, -411530, -190680
16540, -34, -514, -77, -344750, -444990, -124250
16560, -24, -583, -76, -74130, -548380, 46760
16580, 8, -644, 0, 78750, -590450, 139650
16600, 28, -754, 164, 187320, -608720, 251580
16620, -6, -992, 365, 176680, -578340, 412510
16640, -646, -1509, 494, 3290, -458360, 667870
16660, -1581, -1998, 463, -271110, -329490, 876120
16680, -1489, -1998, 323, -364770, -464450, 619010
16700, -696, -1602, 10, -269920, -826560, -14000
16720, -564, -1458, -192, -333480, -925610, -180250
16740, -527, -1252, -197, -124110, -1010800, 2660
16760, -366, -932, -99, 143570, -1094940, 69300
16780, -300, -821, 13, 222110, -1118460, 24220
16800, -255, -836, 79, 124950, -1062390, 41580
16820, -254, -953, 121, -48440, -966070, 95200
16840, -567, -1320, 116, -229670, -845250, 215740
16860, -860, -1578, 169, -313110, -784910, 289240
16880, -775, -1321, 234, -277410, -834470, 183610
16900, -439, -1143, -11, -358330, -885920, -70210
16920, -374, -1141, -148, -483000, -848890, -128660
16940, -332, -945, -62, -388570, -826840, -15680
16960, -274, -744, -2, -196700, -834120, 60900
16980, -210, -648, -46, -133490, -820260, 63490
17000, -183, -583, -44, -140980, -791280, 57890
17020, -125, -562, -69, -140070, -754600, 58240
17040, -81, -562, -68, -132650, -714070, 59850
17060, -100, -599, -36, -97720, -664020, 87850
17080, -150, -660, 1, -49350, -611590, 126000
17100, -176, -681, 67, -7910, -570430, 123760
17120, -124, -710, 100, 280, -534660, 60620
17140, -42, -844, 66, -62230, -487620, -22610
17160, -52, -1027, 84, -142590, -412930, -44240
17180, -208, -1232, 153, -161000, -310730, 32620
17200, -418, -1424, 225, -140630, -200900, 140770
17220, -510, -1528, 227, -133980, -119000, 166250
17240, -352, -1337, 233, -139370, -91490, 58520
17260, -213, -1214, 153, -141260, -85190, -102900
17280, -145, -1161, 82, -187670, -30940, -189630
17300, -138, -1115, 88, -199570, 54250, -176050
17320, -212, -1126, 142, -142800, 138320, -111160
17340, -335, -1266, 164, -84000, 216860, -45500
17360, -410, -1432, 177, -77420, 283360, -36610
17380, -378, -1496, 204, -66710, 315280, -107870
17400, -374, -1560, 190, -26040, 328860, -200340
17420, -443, -1547, 169, -420, 373240, -229810
17440, -465, -1428, 162, 10360, 444920, -200130
17460, -424, -1268, 136, 101010, 500920, -249760
17480, -338, -1130, 94, 137340, 504000, -321720
17500, -249, -996, 87, 182840, 519190, -348390
17520, -220, -923, 97, 203910, 561680, -311570
17540, -243, -934, 64, 177660, 626430, -242620
17560, -273, -952, 16, 147210, 686420, -184380
17580, -290, -917, 15, 167160, 720370, -144200
17600, -305, -884, 29, 213220, 732620, -113190
17620, -311, -856, 49, 238560, 736750, -93940
17640, -316, -837, 70, 235480, 738010, -89810
17660, -320, -824, 89, 204540, 736470, -102270
17680, -304, -819, 79, 155260, 728840, -133350
17700, -251, -784, 62, 111160, 712460, -179550
17720, -201, -744, 49, 92680, 694470, -209790
17740, -181, -729, 45, 90720, 682080, -198310
17760, -201, -759, 35, 88270, 674100, -156170
17780, -234, -818, 31, 95690, 658980, -115010
17800, -245, -866, 57, 132860, 625870, -98630
17820, -246, -926, 99, 189980, 577360, -97860
17840, -242, -1012, 127, 232890, 525700, -92330
17860, -263, -1124, 161, 250670, 480410, -71260
17880, -318, -1244, 211, 251720, 447020, -30520
17900, -392, -1371, 234, 230860, 422590, 15610
17920, -411, -1428, 216, 193830, 390950, 41860
17940, -368, -1337, 230, 188650, 329700, 41510
17960, -302, -1212, 251, 220080, 246680, 34440
17980, -247, -1151, 238, 216930, 176400, 30100
18000, -220, -1155, 209, 160300, 132160, 38990
18020, -261, -1230, 203, 106960, 99960, 77350
18040, -326, -1317, 231, 96600, 61530, 136500
18060, -371, -1376, 267, 119700, 3990, 176820
18080, -369, -1369, 296, 140910, -66570, 175910
18100, -355, -1304, 281, 126910, -130620, 147700
18120, -322, -1254, 215, 64750, -176960, 112280
18140, -267, -1180, 144, 910, -219310, 79450
18160, -264, -1085, 157, 2170, -275590, 72450
18180, -258, -985, 175, 54740, -334810, 90510
18200, -232, -917, 156, 77770, -387870, 86940
18220, -205, -888, 112, 38710, -429800, 55930
18240, -197, -853, 105, -11970, -461370, 36820
18260, -210, -829, 102, -33390, -487900, 44660
18280, -225, -828, 90, -43750, -514290, 60900
18300, -233, -828, 72, -58730, -542290, 69790
18320, -217, -805, 69, -70140, -572180, 66850
18340, -179, -774, 68, -71470, -601300, 56630
18360, -168, -787, 54, -102900, -619850, 89320
18380, -200, -835, 52, -111160, -612570, 144690
18400, -237, -875, 61, -91910, -611450, 187600
18420, -245, -894, 71, -63070, -618660, 194320
18440, -234, -928, 65, -46270, -624610, 177730
18460, -233, -984, 66, -34930, -620970, 166250
18480, -245, -1064, 85, -17430, -607810, 166670
18500, -283, -1144, 115, 3920, -587090, 172690
18520, -325, -1233, 131, 19390, -563010, 168280
18540, -370, -1299, 152, 31220, -541030, 140490
18560, -370, -1326, 164, 30660, -520380, 87640
18580, -350, -1338, 149, 13580, -494550, 25060
18600, -339, -1340, 125, -9030, -458500, -20230
18620, -323, -1301, 128, 1330, -424270, -47180
18640, -286, -1246, 145, 27930, -393330, -75250
18660, -266, -1235, 147, 32830, -350630, -97020
18680, -264, -1235, 155, 15400, -293650, -104790
18700, -269, -1253, 158, 2590, -235200, -108920
18720, -275, -1287, 149, -6440, -178220, -113260
18740, -279, -1277, 156, 7700, -132020, -121730
18760, -244, -1207, 173, 36470, -93030, -135170
18780, -222, -1167, 157, 46970, -47530, -148190
18800, -211, -1121, 147, 29890, 10780, -151060
18820, -202, -1073, 115, 25480, 66710, -146720
18840, -183, -1003, 109, 36050, 112560, -148610
18860, -144, -928, 96, 64960, 149170, -153720
18880, -133, -864, 104, 89040, 187390, -151200
18900, -129, -826, 99, 97020, 233520, -132370
18920, -132, -802, 83, 82740, 283010, -113260
18940, -126, -784, 70, 64750, 328720, -102340
18960, -123, -769, 62, 57330, 367290, -95130
18980, -135, -761, 69, 58520, 401170, -81970
19000, -156, -776, 74, 64050, 431550, -61460
19020, -178, -799, 90, 60830, 457240, -46550
19040, -199, -846, 104, 51380, 475440, -45220
19060, -214, -902, 111, 33670, 485800, -59990
19080, -223, -976, 116, 13650, 489510, -85400
19100, -233, -1044, 128, 4970, 487550, -111300
19120, -268, -1118, 155, 13650, 483910, -124390
19140, -314, -1194, 170, 26880, 482930, -120750
19160, -363, -1261, 181, 29960, 479290, -121240
19180, -367, -1274, 193, 36470, 462980, -143640
19200, -341, -1240, 205, 60270, 430010, -186060
19220, -292, -1206, 191, 87710, 391720, -228130
19240, -279, -1205, 179, 96530, 363580, -250320
19260, -303, -1232, 180, 103040, 342790, -205800
19280, -326, -1261, 183, 120190, 323890, -182420
19300, -318, -1278, 189, 148680, 290080, -178360
19320, -314, -1281, 215, 176820, 254730, -170660
19340, -320, -1279, 232, 181580, 227360, -155540
19360, -303, -1258, 220, 159740, 205380, -147140
19380, -264, -1207, 194, 136570, 181230, -144060
19400, -250, -1155, 181, 130200, 155050, -126140
19420, -238, -1091, 180, 136780, 123620, -104020
19440, -210, -1023, 182, 141120, 87430, -92400
19460, -175, -968, 184, 129360, 53900, -86310
19480, -165, -937, 179, 98910, 28140, -71750
19500, -172, -928, 164, 62510, 6650, -49210
19520, -173, -918, 147, 38360, -21070, -32200
19540, -158, -885, 149, 35980, -59360, -25970
19560, -146, -847, 159, 40950, -99190, -20160
