T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
82197, -208, -940, 282, -1820, 2800, -3080
82217, -180, -942, 280, -770, 7140, -6930
82237, -174, -940, 275, 4620, -280, -15960
82257, -160, -923, 348, 10010, -2870, -20230
82277, -142, -917, 346, 9660, 6090, -17920
82297, -106, -913, 338, 3150, 18830, -17710
82317, -141, -921, 376, 3010, 21140, -23730
82337, -193, -954, 371, -4970, 25970, -26110
82357, -148, -1024, 366, -28140, 26110, -20020
82377, 6, -1048, 375, -55300, 30170, 13160
82397, -219, -961, 338, -90020, 58310, 129080
82417, -406, -959, 301, -128870, 75180, 194950
82437, -625, -1353, 324, -120610, 30520, 164570
82457, -391, -1098, 256, -62230, -65450, 2870
82477, -125, -884, 173, -23030, -147980, -184170
82497, -10, -774, 137, -28210, -117180, -217140
82517, -38, -746, 113, -39270, -3640, -129220
82537, -152, -767, 127, -38010, 124390, -10430
82557, -240, -809, 163, -12810, 206850, 54040
82577, -247, -852, 189, 23520, 226030, 22750
82597, -197, -904, 205, 55090, 208110, -63280
82617, -154, -968, 220, 75530, 201320, -122990
82637, -207, -1074, 216, 68530, 245490, -109760
82657, -395, -1198, 230, 38220, 338660, -27300
82677, -510, -1243, 256, 33880, 409500, 50050
82697, -404, -1098, 278, 85960, 381430, 19600
82717, -268, -959, 276, 154070, 290220, -89880
82737, -163, -881, 241, 153720, 244160, -161910
82757, -149, -882, 179, 83860, 275940, -154980
82777, -233, -947, 145, 9100, 347970, -81830
82797, -305, -977, 176, -3290, 399000, 9520
82817, -308, -956, 246, 62650, 386820, 55790
82837, -294, -950, 298, 136780, 330120, 45990
82857, -258, -982, 306, 145880, 279650, 16870
82877, -244, -1050, 258, 80080, 262850, -7070
82897, -303, -1121, 214, -8890, 278040, 1330
82917, -334, -1069, 249, -39970, 293090, 53060
82937, -299, -939, 290, 15330, 261100, 90300
82957, -258, -867, 284, 72240, 195860, 78050
82977, -195, -832, 244, 52640, 142870, 38640
82997, -141, -835, 192, -13090, 111090, -560
83017, -162, -881, 166, -63140, 97300, -3220
83037, -231, -922, 214, -1960, 80850, 116690
