T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
101722, -232, -800, 116, -49210, 96880, -97300
101742, -99, -663, 97, 4550, 67130, -204400
101762, 34, -582, 97, 58100, 78260, -240730
101782, 66, -601, 102, 58800, 156380, -168000
101802, -63, -704, 138, 28490, 276920, -19530
101822, -247, -902, 143, -20930, 383530, 95760
101842, -420, -1140, 151, -36050, 419580, 106680
101862, -465, -1189, 219, 55370, 359520, 28490
101882, -334, -1085, 274, 175700, 255150, -93660
101902, -213, -972, 304, 190330, 211330, -172900
101922, -241, -981, 231, 78960, 270970, -151970
101942, -260, -986, 138, -38640, 346430, -109480
101962, -250, -890, 128, -22750, 352590, -93590
101982, -220, -786, 147, 78610, 306040, -96250
102002, -166, -677, 196, 161910, 251370, -114940
102022, -122, -604, 241, 172060, 218400, -131880
102042, -88, -618, 199, 89460, 216020, -132230
102062, -83, -671, 128, -26320, 230720, -113470
102082, -99, -743, 108, -84700, 240310, -78960
102102, -137, -813, 114, -51030, 230930, -30170
102122, -185, -845, 201, 41020, 201180, 21350
102142, -236, -884, 284, 120190, 160790, 54950
102162, -283, -941, 330, 115010, 124250, 56350
102182, -281, -1016, 290, 29960, 97580, 23870
102202, -261, -1065, 212, -70560, 70630, -23800
102222, -231, -1002, 187, -95340, 31430, -42840
102242, -181, -874, 211, -27440, -22330, -26740
102262, -171, -799, 246, 37030, -67900, -420
102282, -174, -805, 229, 28910, -85190, 25200
102302, -184, -861, 182, -54110, -88270, 28770
102322, -208, -875, 178, -112980, -97370, 33390
102342, -187, -901, 162, -91280, -124180, 46340
102362, -182, -926, 211, -36820, -161210, 52640
102382, -226, -971, 288, 14560, -181720, 75740
102402, -284, -1080, 271, 7350, -171150, 107730
102422, -371, -1137, 259, -67410, -141330, 122920
102442, -372, -1073, 224, -111440, -129430, 123690
102462, -277, -895, 180, -94220, -167510, 75250
102482, -165, -715, 165, -49350, -233870, -10360
102502, -52, -621, 114, -17290, -277830, -72310
102522, 4, -618, 84, -21630, -278390, -84000
102542, -29, -687, 106, -33530, -241570, -32060
102562, -108, -809, 154, -17780, -183820, 61880
102582, -246, -951, 239, 15260, -126560, 150780
102602, -383, -1113, 311, 36890, -86590, 201460
102622, -417, -1266, 329, -9660, -85190, 101500
102642, -421, -1418, 284, -65800, -84980, 23170
102662, -471, -1445, 273, -69510, -72800, 13370
102682, -390, -1251, 264, -17220, -80080, 12460
102702, -335, -1081, 258, 18060, -90720, -10920
102722, -275, -1003, 228, -4550, -83580, -50680
102742, -193, -1010, 197, -42840, -63070, -86520
102762, -231, -1103, 198, -56070, -20860, -61740
102782, -315, -1206, 226, -33810, 28700, 4550
102802, -383, -1235, 294, 13720, 54600, 44450
102822, -455, -1294, 332, 29540, 63700, 36120
102842, -439, -1341, 307, -10710, 65870, -26110
102862, -347, -1307, 257, -42770, 61250, -99050
102882, -332, -1240, 230, -35770, 74340, -102900
102902, -331, -1153, 249, 2100, 97160, -58660
102922, -347, -1136, 270, 33320, 110670, -35210
102942, -371, -1222, 269, 19600, 122430, -45850
102962, -358, -1303, 266, -1330, 128100, -71960
102982, -381, -1356, 267, 5320, 135520, -71960
103002, -426, -1274, 288, 31990, 154140, -27370
103022, -377, -1131, 267, 57960, 156310, -7910
103042, -302, -1025, 236, 58030, 134750, -51800
103062, -223, -972, 214, 46620, 114380, -98770
103082, -164, -994, 197, 34790, 114380, -108430
103102, -261, -1094, 229, 26950, 147350, -52430
103122, -402, -1237, 261, 21840, 197610, 44730
103142, -488, -1316, 310, 26250, 212800, 90510
103162, -474, -1304, 339, 55160, 170730, 57890
103182, -342, -1235, 296, 59780, 109270, -25620
103202, -288, -1174, 256, 24850, 80990, -85190
103222, -334, -1189, 232, -8330, 101010, -54250
103242, -386, -1163, 267, -9590, 120750, 8680
103262, -373, -1108, 286, 31220, 98420, 33950
103282, -297, -1048, 257, 48580, 51380, -2030
103302, -224, -998, 223, 23660, 15750, -53200
103322, -206, -1001, 195, -5040, 7140, -59010
103342, -250, -1023, 209, -15260, 15820, -15890
103362, -317, -1054, 260, 10710, 19670, 48860
103382, -337, -1061, 279, 42350, 5600, 84770
103402, -297, -998, 266, 36750, -22540, 65450
103422, -233, -953, 206, -280, -51520, 16940
103442, -203, -916, 171, -45640, -68950, -18550
103462, -188, -864, 169, -53620, -79660, -11620
103482, -173, -811, 183, -17150, -93730, 17570
103502, -173, -780, 209, 19320, -108220, 40600
103522, -182, -800, 218, 24360, -115990, 52430
103542, -193, -887, 203, -56840, -110670, 50050
103562, -212, -982, 185, -76650, -108150, 59710
103582, -257, -1043, 216, -48020, -114240, 84140
103602, -304, -1077, 269, -2730, -128240, 103460
103622, -337, -1106, 319, 70, -138110, 96460
103642, -362, -1154, 315, -61950, -132510, 65940
103662, -344, -1180, 234, -148400, -121590, 25550
103682, -298, -1074, 194, -164080, -130270, 3010
103702, -245, -929, 182, -103530, -157850, 1050
103722, -193, -809, 171, -51310, -179690, -4830
103742, -153, -706, 176, -34790, -187320, -18830
103762, -103, -648, 153, -53200, -182070, -35140
103782, -73, -660, 116, -87150, -166390, -42700
103802, -73, -697, 111, -98770, -141680, -22470
103822, -106, -755, 135, -76090, -110670, 19880
103842, -157, -824, 171, -42630, -83160, 55580
103862, -206, -871, 221, -16450, -65380, 68320
103882, -243, -925, 240, -18830, -56000, 51450
103902, -240, -971, 210, -59080, -47600, 9170
103922, -228, -967, 198, -81480, -44450, -32970
103942, -208, -915, 177, -62790, -45500, -55510
103962, -168, -808, 167, -31500, -45500, -69650
103982, -127, -688, 168, -2870, -41230, -81200
104002, -88, -608, 148, -2310, -27930, -92190
104022, -51, -562, 109, -32130, -6510, -101780
104042, -35, -540, 81, -56420, 18620, -97930
104062, -26, -523, 73, -53620, 45850, -78400
104082, -33, -539, 75, -29680, 72380, -50680
104102, -54, -573, 101, 1400, 97440, -19040
104122, -87, -617, 139, 34510, 118720, 11760
104142, -116, -680, 162, 52920, 134470, 31010
104162, -146, -749, 174, 47040, 143290, 31780
104182, -173, -805, 180, 32480, 145110, 21210
104202, -167, -833, 174, 27370, 138250, 2380
104222, -129, -817, 182, 37520, 124320, -21000
104242, -122, -805, 202, 59360, 115220, -28280
104262, -146, -817, 206, 65380, 124250, -5180
104282, -173, -810, 197, 39480, 147490, 30940
104302, -182, -769, 182, 6930, 163450, 51940
104322, -157, -703, 153, -8680, 155120, 44380
104342, -109, -639, 134, -4830, 124390, 13440
104362, -62, -585, 128, 13580, 87220, -20300
104382, -41, -557, 138, 33110, 61670, -32410
104402, -55, -591, 139, 39410, 55300, -11270
104422, -84, -669, 148, 26530, 62090, 31220
104442, -131, -802, 175, 17290, 67270, 107170
104462, -210, -965, 227, 33530, 59990, 135450
104482, -341, -1154, 293, 44240, 51450, 158760
104502, -471, -1278, 352, 37240, 34020, 153860
104522, -466, -1237, 329, 4900, -5950, 87500
104542, -325, -1060, 238, -29120, -67970, -15820
104562, -197, -871, 185, -33390, -123970, -83930
