T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
8410, -32, 145, 992, 2450, -10290, 15680
8430, -37, 156, 1002, 6860, -4970, 15890
8450, -44, 140, 1012, 5670, 980, 22540
8470, -26, 138, 984, -420, 5110, 29750
8490, -24, 139, 956, -8890, 8260, 31570
8510, -1, 152, 954, -10220, 8400, 34230
8530, -9, 163, 991, -6510, 3360, 39900
8550, -34, 150, 1039, -4130, 10850, 39480
8570, -36, 136, 1025, -6370, 15470, 36470
8590, -25, 135, 1001, -5530, 700, 42560
8610, -33, 133, 1005, -2800, -3430, 39900
8630, -29, 153, 1032, -2450, 2030, 35910
8650, 7, 208, 1047, 2590, -8960, 45850
8670, -10, 168, 988, 910, -2240, 41580
8690, -8, 147, 971, -13790, 18620, 26040
8710, -12, 150, 970, -18270, 13790, 28420
8730, -63, 107, 1007, -10220, 3010, 43260
8750, -47, 106, 1013, -9380, 1470, 51800
8770, -10, 132, 1060, -18550, -21350, 71470
8790, -38, 68, 989, -28980, -2170, 57050
8810, -71, 21, 940, -30240, 13230, 43330
8830, -72, 57, 1043, -20020, 5740, 44240
8850, -60, 56, 1056, -11200, -6090, 43470
8870, 2, 83, 1006, -14070, -18620, 40530
8890, 2, 69, 996, -18550, -16940, 37170
8910, -16, 45, 1001, -23030, -4760, 31220
8930, -16, 29, 1000, -21980, -4970, 32690
8950, 0, 39, 1006, -16800, -9450, 31220
8970, 27, 47, 1004, -12600, -11270, 26530
8990, 89, 77, 1000, -10780, -11620, 23100
9010, 87, 131, 1007, -10850, 2590, 14630
9030, 50, 74, 983, -16380, 20160, 6860
9050, 21, 70, 1056, -16450, 16520, 16310
9070, -11, 26, 1020, -13650, 10360, 23030
9090, -30, -6, 1042, -14560, -4620, 29960
9110, -14, -12, 1018, -10710, -16870, 30800
9130, -6, -19, 989, -11480, -13720, 21910
9150, -22, -22, 986, -14070, -3010, 14000
9170, 16, 6, 988, -6860, -1050, 9240
9190, 23, -4, 979, 2590, -11340, 7560
9210, 33, 13, 1022, 7770, -15190, 8190
9230, 24, 25, 1032, 3080, -1750, 1260
9250, 5, -18, 985, -5600, 1260, -980
9270, 71, 26, 979, -8120, -7000, 2170
9290, 51, 24, 1051, -280, -8540, 5530
9310, 50, 11, 1013, 1540, -15470, 11060
9330, 53, 15, 1039, -6790, -19250, 12110
9350, 53, -2, 1025, -6790, -21000, 12250
9370, 69, -4, 1006, -9170, -21000, 11340
9390, 95, 39, 1057, -5950, -20230, 12880
9410, 81, -1, 1000, -3920, -22260, 18130
9430, 127, 5, 961, -7980, -27580, 29190
9450, 112, 15, 1005, -2030, -22610, 28770
9470, 118, 13, 1012, 1680, 3080, 19460
9490, 135, 21, 941, 2240, 6650, 18620
9510, 121, 24, 1009, -1190, -1680, 17500
9530, 113, 8, 991, -560, 420, 19600
9550, 103, -19, 1024, -3430, 4200, 23240
9570, 78, -10, 1021, -6930, 16450, 19810
9590, 130, -27, 1081, -11130, 23170, 14980
9610, 199, -96, 959, -17850, 14140, 14560
9630, 147, -54, 916, -32340, -58380, 27580
9650, 106, -54, 1050, -6160, -62580, 23030
9670, 156, -77, 966, -5670, 7140, 7210
9690, 57, -2, 1042, -3850, 31920, -7000
9710, 32, 1, 1035, 7770, 53480, -14000
9730, 47, -12, 988, 21140, 30030, -8330
9750, 39, 14, 934, 26180, 6860, 2310
9770, 2, 23, 963, 22400, 11060, 8400
9790, 12, 7, 1005, 8890, 16800, 9870
9810, -17, 18, 963, 7910, 53620, 10500
9830, -70, 58, 1007, 7350, 80920, 8890
9850, -25, 3, 1003, -840, 63280, 9310
9870, -43, 5, 972, -1470, 45430, 10640
9890, -47, 7, 971, -1540, 24500, 9450
9910, 11, -66, 1057, -9800, 1750, 5880
9930, -57, -19, 1074, -13860, 8120, 4900
9950, -51, -11, 1045, -5740, 9450, 5530
9970, -38, 7, 1025, -490, -8960, 7980
9990, -54, 19, 1033, 1890, -14560, 8890
10010, -28, 13, 1036, 2030, -7070, 13440
10030, 12, 7, 1053, 70, -9800, 17780
10050, 5, 35, 997, 4760, -9380, 19600
10070, -5, 45, 1006, 10010, -11130, 22050
10090, -11, 38, 1046, 7630, -10430, 25130
10110, 11, 13, 1072, 560, -20790, 27720
10130, 6, 25, 1030, 2240, -20160, 33040
10150, 45, 7, 995, 9310, -12670, 33460
10170, 48, -2, 1006, 5460, -17220, 30170
10190, 57, -15, 1002, 140, -23240, 29190
10210, 30, 12, 1006, 630, -19670, 25690
10230, 38, 4, 1017, 2240, -18060, 22190
10250, 9, 19, 1029, -3710, -12250, 23170
10270, 53, 0, 969, -4200, 4480, 24780
10290, -14, 42, 909, -420, 19950, 28070
10310, -47, 36, 980, -15400, 39620, 39620
10330, -13, -4, 1048, -25760, 44100, 45010
