T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
9807, -100, -827, 665, 22330, -293860, 145740
9827, 120, -839, 566, -32060, -328160, 131320
9847, 79, -873, 477, -88480, -154350, 77980
9867, -60, -913, 310, -201530, 61320, 29890
9887, -185, -990, 171, -281400, 127260, 61880
9907, -238, -1023, 158, -210000, 45640, 110670
9927, -212, -912, 259, -6860, -114940, 113750
9947, -116, -845, 350, 138530, -276430, 87780
9967, -77, -882, 406, 112280, -369250, 106680
9987, -251, -1071, 341, -49560, -368480, 221060
10007, -550, -1292, 312, -191310, -350070, 370160
10027, -682, -1296, 339, -172760, -438200, 400890
10047, -517, -1039, 264, -89600, -637700, 247800
10067, -272, -935, 129, -109760, -811300, 56350
10087, -244, -1006, 53, -192360, -861280, 32900
10107, -364, -1036, 105, -177660, -832370, 180740
10127, -410, -939, 211, -56210, -828870, 302680
10147, -370, -790, 263, 8750, -859110, 294630
10167, -323, -817, 151, -88900, -867440, 231560
10187, -369, -978, 61, -255500, -835800, 213500
10207, -437, -1067, 76, -294350, -803460, 248990
10227, -401, -993, 132, -182280, -814450, 252140
10247, -259, -860, 168, -71680, -843360, 184870
10267, -173, -865, 132, -84070, -816550, 122640
10287, -249, -968, 118, -177100, -710850, 146230
10307, -323, -1018, 147, -210980, -593250, 211890
10327, -295, -962, 183, -153160, -532560, 210140
10347, -174, -892, 175, -88200, -514920, 122080
10367, -79, -915, 133, -88620, -474670, 27370
10387, -98, -989, 119, -121800, -374150, 7980
10407, -186, -1027, 160, -109340, -239190, 59010
10427, -236, -1012, 223, -40110, -122290, 100450
10447, -214, -986, 238, 29960, -49280, 68180
10467, -142, -975, 197, 43540, 3080, -22120
10487, -104, -976, 134, 15050, 70840, -104090
10507, -144, -968, 120, 3640, 170240, -122920
10527, -223, -949, 153, 41650, 283150, -87780
10547, -277, -939, 188, 105350, 378280, -53900
10567, -267, -916, 197, 145530, 439460, -66710
10587, -216, -896, 175, 150500, 471590, -125160
10607, -181, -889, 148, 116060, 546700, -195580
10627, -222, -911, 138, 106750, 612850, -153160
10647, -296, -961, 148, 104020, 672280, -97930
10667, -357, -1007, 177, 116130, 693910, -76720
10687, -362, -1020, 218, 140560, 671720, -99680
10707, -318, -995, 263, 155400, 629440, -140280
10727, -276, -990, 271, 129150, 598150, -165830
10747, -270, -1009, 247, 68950, 586250, -164710
10767, -268, -1025, 217, 22890, 574630, -146580
10787, -268, -1006, 227, 26740, 542290, -124740
10807, -348, -928, 357, 61530, 488460, -106190
10827, -298, -873, 269, 76510, 256550, -54950
10847, -323, -953, 346, -2870, -259140, 145250
10867, -307, -1032, 238, -121380, -265090, 156170
10887, 116, -1493, -52, -176960, -334250, 96670
10907, 4, -1080, 139, -67270, -331730, 40740
10927, -67, -828, 224, 44240, -228900, -33110
10947, -102, -766, 259, 17570, -192220, -13930
10967, -137, -862, 194, -42910, -169260, 48160
10987, -130, -994, 160, -84070, -169400, 89950
11007, -198, -1025, 187, -53690, -196840, 75600
11027, -333, -1048, 342, 6650, -237370, 54670
11047, -206, -974, 292, 14840, -252630, 55790
11067, -214, -1028, 241, -51660, -258860, 39830
11087, -229, -1040, 225, -109620, -251440, 40530
11107, -213, -1004, 219, -94640, -257530, 42070
11127, -129, -926, 229, -48930, -273210, 31920
11147, -197, -878, 322, 16100, -197890, 21840
11167, -200, -919, 278, 48160, -2240, -1960
11187, -134, -991, 169, -39620, 49490, -50540
11207, -172, -984, 181, -80640, 65590, -88550
11227, -206, -911, 139, -10010, 117250, -79100
11247, -188, -1125, 196, -5180, 10710, 4970
11267, -249, -1055, 305, -5460, 16240, 41720
11287, -157, -944, 230, -2730, 35000, 14980
11307, -114, -953, 168, -13580, -8260, -22190
11327, -77, -965, 154, -23660, -24850, -38850
11347, -90, -978, 209, -4690, -19320, -32970
11367, -166, -1002, 204, 9730, -980, -7700
11387, -230, -1036, 242, 8540, 16590, 26250
11407, -205, -1026, 249, 14560, 19600, 35210
11427, -147, -1000, 238, 26040, -6440, 4550
11447, -126, -983, 224, 19460, -27860, -31010
11467, -158, -979, 216, -6090, -18620, -31710
11487, -190, -964, 210, -20020, 17080, 33670
11507, -119, -1002, 178, -18830, -3500, 10570
11527, -71, -951, 223, -7140, -12670, -41020
11547, -35, -893, 253, 5390, 8890, -55440
11567, -71, -890, 253, -7910, 22190, -12040
11587, -150, -985, 195, -26530, 31220, 27860
11607, -187, -1025, 150, -24010, 18620, 35140
11627, -160, -1012, 171, 6790, -6160, 14350
11647, -141, -1001, 250, 21840, -13510, -3920
11667, -177, -977, 262, 5390, 2590, 2520
11687, -167, -999, 203, -10010, 1330, 12040
11707, -137, -1007, 164, -14000, -10990, -2940
11727, -112, -1003, 167, -8750, -14630, -21560
11747, -128, -979, 197, 15890, 2730, -11340
11767, -173, -983, 231, 34160, 27020, 15960
11787, -210, -994, 255, 23730, 40180, 26950
11807, -206, -982, 249, 11900, 35840, 17010
11827, -172, -982, 225, 1120, 20090, -12950
11847, -143, -961, 220, -10500, 6510, -34580
11867, -147, -955, 227, -2660, 10080, -21840
11887, -189, -964, 254, 13790, 24570, 14350
11907, -217, -981, 264, 16310, 33250, 36470
11927, -212, -984, 260, 5040, 23800, 22330
11947, -168, -974, 235, -4200, 3150, -9100
11967, -146, -959, 230, -4690, -11130, -25060
11987, -160, -949, 239, 4620, -8400, -7490
12007, -191, -962, 252, 10220, 2940, 23520
12027, -211, -974, 260, 9240, 6160, 37450
