T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
65255, -153, -975, 445, -1050, 3780, 1400
65275, -152, -966, 370, -11270, 2240, -6160
65295, -98, -952, 302, -11760, 4480, -10710
65315, -58, -951, 293, -9800, -5600, -2380
65335, -82, -941, 351, -6510, -10080, 14840
65355, -137, -973, 381, -10220, -7140, 16380
65375, -128, -946, 322, -11830, -5320, 6090
65395, -141, -965, 318, -5110, 5110, 3990
65415, -125, -996, 228, -1680, 25550, 630
65435, -83, -956, 275, 15260, 69510, -24010
65455, -91, -952, 334, 29190, 117810, -52640
65475, -157, -937, 319, 31360, 165130, -58100
65495, -247, -917, 370, 30870, 183960, -43820
65515, -287, -937, 421, 26040, 148260, -27580
65535, -281, -907, 352, 10780, 93940, -14700
65555, -349, -889, 499, 3850, 81410, -12460
65575, -320, -755, 634, 0, 39130, -16240
65595, -150, -930, 108, -43960, -106120, -1820
65615, -218, -1025, 80, -51380, -96250, 18620
65635, -91, -1018, 147, -39620, -20090, -3430
65655, -44, -1019, 203, -22190, -41020, -10640
65675, -65, -968, 329, -20580, -33530, 6160
65695, -115, -1049, 348, -26530, -18900, 27160
65715, -17, -1080, 440, -33880, -42210, 38920
65735, -225, -1000, 534, -15400, -38780, 29470
65755, -488, -846, 431, 35000, 55230, -7420
65775, -60, -1012, 127, 24640, -11970, -56980
65795, -177, -874, 299, 14630, -52710, -77000
65815, -153, -978, 288, 18270, 65310, -60200
65835, 6, -1024, 284, 10430, 143710, -46340
65855, -157, -1020, 352, 16730, 184730, -51940
65875, -171, -991, 382, 36260, 200200, -55370
65895, -281, -1011, 362, 36680, 160440, -58380
65915, -218, -1027, 378, 15680, 126490, -75950
65935, -369, -922, 445, 15050, 105000, -77980
65955, 53, -889, 76, -19810, -32690, -52080
65975, 129, -891, -89, -100660, -377790, 37520
65995, -248, -999, 258, -140420, -322140, 104580
66015, -104, -1051, 288, -130830, -33390, 101360
66035, 29, -1062, 294, -119910, -66430, 51800
66055, 37, -949, 378, -103460, -144550, 28700
66075, 0, -1132, 180, -78190, -81620, 10150
66095, -56, -1117, 25, -70980, -24640, -10780
66115, -21, -1125, -105, -62020, 20020, -31920
66135, 58, -1046, -123, -31010, 13440, -38570
66155, 20, -1021, -18, -2800, -26810, -35000
66175, 27, -964, 83, 37520, 74270, -42350
66195, -71, -1029, 123, 33880, 126840, -57260
66215, -84, -1060, 140, 25060, 161140, -54530
66235, -108, -1002, 122, 27160, 86310, -33460
66255, -88, -938, 88, 5600, 1400, -17290
66275, -44, -855, 108, 280, -5880, -17990
66295, -13, -898, 151, -3010, 25830, -21980
66315, 44, -893, 118, -16520, -6230, -8610
66335, 86, -943, 21, -31080, -106680, 21700
66355, 66, -1019, -79, -41440, -165690, 48160
66375, 87, -947, -123, -44520, -114170, 41440
66395, 107, -850, -3, -8540, 4900, 5180
66415, -21, -1064, 161, 30800, 131740, -19180
66435, -134, -1193, 199, 26810, 155890, -14000
66455, -172, -1072, 71, 5110, 65590, -6510
66475, -125, -983, 148, 5110, -10220, -14980
66495, -107, -1074, 335, 18270, 29750, -27650
66515, -89, -1009, 517, -20230, 134120, -36190
66535, 57, -1009, 394, -48440, -1330, -17920
66555, 44, -976, -87, -94920, -285180, 29820
66575, -8, -1169, -280, -107800, -412930, 83720
66595, -16, -1157, -418, -80290, -288470, 72240
66615, 42, -1040, -234, -56070, -38500, -1050
66635, 122, -906, -27, 8400, 116760, -52570
66655, 90, -1038, 35, 26250, 132440, -52570
66675, 94, -935, -6, 23800, 68460, -30450
66695, 32, -1014, 23, 16380, 36330, -16520
66715, -8, -1030, 36, 5810, 45640, -5390
66735, -239, -1135, -41, -6020, 59850, -2590
66755, -192, -894, -100, 5810, 71120, -8190
66775, -73, -768, -102, 37660, 20090, -23590
66795, -135, -993, -70, 54460, -4060, -35280
66815, -25, -1010, 99, 61040, 50260, -47110
66835, 65, -929, 231, 44800, 68110, -48580
66855, 97, -1070, 130, -11760, -22330, -19320
