T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
26954, 226, -185, 974, -6020, 70, -1960
26974, 224, -185, 970, -10220, -5460, 70
26994, 241, -176, 981, -10080, 2100, -350
27014, 236, -191, 1001, -10010, 12740, -3360
27034, 216, -205, 971, -14000, 18620, -4760
27054, 209, -211, 964, -17850, 13790, -6300
27074, 189, -233, 990, -19040, 6370, -9730
27094, 198, -244, 994, -19950, -4270, -13440
27114, 234, -200, 897, -21490, -25760, -17220
27134, 232, -266, 1169, -24430, -19740, -18830
27154, 252, -262, 962, -34370, 8470, -14560
27174, 214, -309, 822, -45150, -18410, -23800
27194, 200, -330, 819, -52150, -29330, -22680
27214, 258, -282, 931, -44730, -16240, -16380
27234, 245, -276, 980, -6930, 1050, -9240
27254, 241, -281, 933, -1610, 18690, -9170
27274, 220, -298, 931, -8470, 12810, -3080
27294, 274, -270, 946, -4200, -10780, 4060
27314, 313, -241, 989, -3430, -18900, 2940
27334, 284, -288, 949, -4200, -13860, -280
27354, 276, -324, 906, -8470, -17500, 1330
27374, 299, -294, 952, -21630, 3010, 3290
27394, 307, -301, 932, -19670, 20440, 630
27414, 249, -303, 914, -16030, 16870, -3710
27434, 354, -252, 825, -19740, 1260, 4200
27454, 293, -307, 965, -13650, -13860, 14070
27474, 295, -292, 881, 19600, -11620, 32410
27494, 309, -327, 929, 5180, 7070, 12880
27514, 197, -329, 970, -27020, 44730, 12670
27534, 132, -374, 877, -61250, 82460, 33530
27554, 119, -405, 998, -43400, 84910, 37520
27574, 143, -387, 978, -34650, 41930, 24990
27594, 154, -456, 727, -32690, 10360, 8540
27614, 109, -413, 943, -17710, 45080, -12110
27634, 121, -343, 927, 14770, 66220, -44240
27654, 89, -365, 989, 21140, 58590, -43260
27674, 97, -361, 969, 3710, 62860, -25970
27694, 89, -369, 989, -9660, 65870, -21280
27714, 53, -322, 968, -19320, 66780, -30450
27734, 13, -356, 962, -34580, 61460, -40040
27754, -17, -320, 1016, -40950, 53900, -37310
27774, 34, -457, 943, -45780, 39480, -10920
27794, 27, -414, 880, -52150, 14560, 6160
27814, 5, -439, 925, -48860, 19390, 2870
27834, 3, -491, 929, -51450, 24500, 2730
27854, -2, -503, 939, -56490, 10150, -140
27874, 1, -503, 924, -57820, -6440, -2940
27894, 14, -525, 882, -65870, -23450, -1330
27914, 23, -540, 887, -76440, -36750, 770
27934, 51, -575, 804, -80430, -51170, 3220
27954, 72, -623, 830, -89670, -57050, 10220
27974, 66, -638, 816, -89530, -27020, 14490
27994, 75, -622, 772, -85540, -13230, 8050
28014, 88, -692, 815, -85610, -20020, -8190
28034, 116, -638, 690, -84490, -13090, -15540
28054, 100, -686, 690, -85470, -14700, -23030
28074, 118, -782, 778, -104650, -14630, -30100
28094, 122, -766, 681, -109900, 3570, -13720
28114, 86, -745, 577, -109970, 15890, 140
