T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
1005192,17,43,1032,14980,6720,-70350
1005212,20,49,1050,7140,4270,-59080
1005232,78,55,992,3850,-3850,-41650
1005252,52,-7,927,6510,-8540,-28490
1005272,162,27,906,3010,10850,-20580
1005292,39,30,1007,-10640,44870,-4760
1005312,37,48,1007,-11760,56350,-7070
1005332,9,23,946,3080,36120,-12810
1005352,-78,42,1025,210,23730,-11410
1005372,-122,7,999,-18690,12180,-12250
1005392,-13,8,986,-36960,1820,-17990
1005412,-31,-22,998,-29190,-1890,-17990
1005432,-14,-6,981,-13160,8330,-12250
1005452,-62,12,993,-910,8400,-770
1005472,-62,-34,1004,-840,7910,2170
1005492,-47,-9,1050,-2450,3360,3850
1005512,-45,-21,1030,1750,10080,3850
1005532,-49,-40,941,-2940,28280,-2800
1005552,-126,0,1003,-3640,41230,-5320
1005572,-111,-18,1000,6370,48090,3220
1005592,-103,-5,993,13440,27860,11200
1005612,-86,-24,987,7350,16100,14700
1005632,-119,6,1056,3920,25200,9380
1005652,-147,-41,1040,9030,24920,5390
1005672,-144,10,1000,7700,13930,0
1005692,-133,-5,1027,7140,2240,-14560
1005712,-172,31,1021,16730,8820,-29680
1005732,-161,48,1024,21280,17570,-42980
1005752,-137,-8,1037,12740,10010,-46270
1005772,-152,-73,1080,-910,-8820,-41720
1005792,-102,-2,1020,-13440,-26530,-41160
1005812,-124,19,1016,-13650,-40040,-44730
1005832,-96,11,1046,-7000,-39550,-45150
1005852,-97,12,1015,2450,-19250,-38570
1005872,-83,48,1023,14630,-34160,-31500
1005892,-126,84,1034,26180,-57050,-37660
1005912,7,54,887,26880,-89670,-43890
1005932,10,53,873,30240,-97230,-38220
1005952,52,67,928,25200,-67690,-29470
1005972,-39,108,1130,-3010,-11270,-24150
1005992,15,102,1010,-10080,9800,-14770
1006012,25,100,1003,17430,-17710,-7070
1006032,13,79,1022,15470,-33950,-8540
1006052,26,68,989,-4200,-38920,-6860
1006072,200,-73,1060,-27370,-45290,-7560
1006092,176,-28,1041,-6300,-40320,-31570
1006112,159,150,1032,68880,-37730,-113330
1006132,94,292,660,156170,-57190,-198170
1006152,-24,162,1045,122010,23170,-174650
1006172,-59,225,1100,15400,99540,-76090
1006192,-18,168,1074,-12530,70420,-44660
1006212,-26,167,1024,-24010,27720,-35000
1006232,-27,141,1012,-38990,6230,-49490
1006252,32,64,952,-58030,3850,-63630
1006272,-11,119,1024,-51870,8540,-61810
1006292,-34,122,1053,-28420,13510,-49420
1006312,-31,148,1060,-22750,18550,-50120
1006332,6,79,969,-26740,20860,-58030
1006352,-18,142,1025,-31640,23730,-64610
1006372,-43,82,1041,-12460,24430,-53830
1006392,-71,130,1047,-1610,23520,-47250
1006412,-93,162,1077,-5600,19530,-48160
1006432,-128,160,1119,-8610,22960,-61880
1006452,-69,69,1126,-280,35140,-78050
1006472,-92,53,978,3150,47180,-89040
1006492,-175,161,955,-9800,52220,-88480
1006512,-191,159,1054,-21490,36400,-83860
1006532,-121,-56,1067,-24290,24220,-90510
1006552,-135,-110,1048,-27300,23100,-97440
1006572,-181,-30,1059,-27090,25900,-92470
1006592,-245,64,1041,-30870,25130,-82530
1006612,-234,-24,909,-27580,27160,-76790
1006632,-211,-111,853,-12040,36120,-79660
1006652,-213,-140,927,-15680,33460,-84000
1006672,-274,-54,953,-30030,21630,-76930
1006692,-311,-38,913,-29960,16940,-67410
1006712,-272,-77,799,-10710,26110,-64820
1006732,-276,-78,858,1540,32410,-69790
1006752,-321,-55,913,7280,24850,-70000
1006772,-317,-73,936,15190,-2380,-61810
1006792,-242,-71,899,4480,-5250,-65590
1006812,-206,-151,919,23380,3360,-62090
1006832,-198,-138,920,22540,4690,-58240
1006852,-233,-55,984,560,-3220,-55580
1006872,-244,-15,972,-2380,-7420,-52430
1006892,-235,-94,1070,12110,-6300,-51310
1006912,-133,-184,1054,1540,-9170,-57190
1006932,-188,-110,1026,-28980,-5110,-58520
1006952,-140,-92,879,-15330,3150,-42070
1006972,-164,-195,1026,-7840,3360,-42140
1006992,-194,-142,919,-9520,5040,-35420
1007012,-221,-117,944,-20020,-14000,-28490
1007032,-217,-144,956,-31150,-27300,-34860
1007052,-222,-42,827,-26180,-28210,-37520
1007072,-118,-145,673,12740,-4480,-28140
1007092,-345,-90,1203,77420,13930,-6370
1007112,-78,-192,1001,78750,-9660,-15330
1007132,-145,-160,987,21700,-14280,-45290
1007152,-160,-109,918,21840,-4340,-36610
1007172,-175,-79,961,8540,-11060,-33950
1007192,-231,36,1039,14140,-26950,-30170
1007212,-191,-38,1006,24850,-32200,-21840
1007232,-179,-52,981,32270,-17360,-10990
1007252,-206,-47,950,42770,-6860,210
1007272,-231,-11,1070,61320,3920,13300
1007292,-169,-3,1000,55160,11130,5950
1007312,-158,-27,1025,32970,11970,-8610
1007332,-140,-60,998,28210,14350,-10780
1007352,-182,3,962,18410,14770,-9310
1007372,-202,36,970,11340,17290,-7000
1007392,-199,30,944,3780,18270,-11760
1007412,-228,38,953,-1470,14980,-17290
1007432,-237,0,967,-5810,11760,-21910
1007452,-242,8,999,-5950,9940,-28910
1007472,-220,-35,1026,-7630,8680,-35420
1007492,-214,-95,1024,-20860,6440,-43050
1007512,-206,-98,999,-33530,3080,-43190
1007532,-290,-84,1117,-36610,140,-42350
1007552,-187,-43,972,-18900,5600,-47320
1007572,-246,32,1043,7700,21980,-65590
1007592,-299,-75,1001,3850,22540,-66430
1007612,-276,-112,1029,16310,12740,-65310
1007632,-204,-34,940,32760,-4200,-82250
1007652,-142,-89,940,28560,-14350,-106330
1007672,-163,-64,961,1890,-18340,-163030
1007692,-240,-127,1039,-14630,-21280,-155610
1007712,-179,-148,1014,-630,-20860,-115920
1007732,-139,-61,957,9380,-18620,-102970
1007752,-180,-88,1021,-15890,-41230,-141890
1007772,-156,-113,981,-24290,-30100,-131880
1007792,-86,-93,933,-7630,-16520,-105070
1007812,-106,-73,908,-11060,-11760,-96600
1007832,-108,-19,923,-14700,-11060,-92120
1007852,-182,-77,966,-23310,-25200,-100450
1007872,-197,-123,996,-34930,-30660,-107660
1007892,-96,-181,983,-32690,-6580,-76510
1007912,-35,-194,914,-15260,19740,-41370
1007932,-42,-222,928,-6160,31430,-25340
1007952,-112,-110,949,-10640,24920,-36470
1007972,-141,-168,1029,-10430,20580,-45010
1007992,-53,-282,993,-12950,3710,-51100
1008012,-4,-340,1004,-6720,10570,-33390
1008032,-153,-150,1011,8750,42840,-12810
1008052,-213,-115,998,14770,45220,-15820
1008072,-208,-150,1008,13300,37730,4900
1008092,-162,-187,987,7560,13020,7420
1008112,-130,-291,995,140,-8540,-2730
1008132,-127,-225,974,-4970,-13020,-12740
1008152,-181,-64,945,980,-5110,-21000
1008172,-177,-198,1063,-3010,-6440,-29960
1008192,-189,-180,1006,-910,7070,-4620
1008212,-149,-318,1013,8890,-8960,-2030
1008232,-88,-166,942,-2240,-40320,-29820
1008252,-122,-190,1009,25410,-24920,-27370
1008272,-99,-183,951,42770,9590,3850
1008292,-209,-122,1032,42350,-4760,1330
1008312,-237,-110,1067,24780,-32270,-17990
1008332,-224,-166,1099,9730,-23730,-6020
1008352,-132,-166,1021,7140,-17430,8960
1008372,-81,-150,943,16170,-15120,-10570
1008392,83,-128,991,13300,-16030,-63910
1008412,-37,-172,799,40110,-35700,-59710
1008432,-176,-180,1119,21700,2660,-34860
1008452,-107,-77,1033,40250,64050,-29750
1008472,-40,-22,1240,27300,77420,-33110
1008492,-50,-57,1093,20580,60270,-44450
1008512,-78,-74,953,2030,34930,-63350
1008532,-183,-153,908,-12880,-1050,-69930
1008552,-167,-143,1015,-15330,-5320,-63000
1008572,-157,-156,961,-15470,-4340,-70350
1008592,-93,-101,950,-6650,-11480,-63280
1008612,-167,-128,1051,3990,-23030,-63560
1008632,-117,-126,903,-3850,-15890,-70840
1008652,-173,-163,933,-12180,7350,-75810
1008672,-150,-187,915,-12320,31080,-87640
1008692,-167,-186,863,-15470,42350,-100100
1008712,-35,-117,973,-8820,33810,-103390
1008732,-45,-67,1086,-4200,34230,-96950
1008752,-51,-105,1007,-4690,28770,-86170
1008772,-74,-160,905,-14630,24570,-82110
1008792,-361,-168,1295,-12110,37100,-76510
1008812,-143,-111,1159,-15400,76860,-88830
1008832,-38,-165,905,-25970,41790,-80290
1008852,-87,-175,906,-23380,-8050,-62580
1008872,-17,-152,920,1050,-8400,-61670
1008892,-76,-133,978,4270,5600,-64610
1008912,-186,-217,928,-3150,19950,-64120
1008932,-226,-244,933,8610,12950,-50470
1008952,-185,-257,923,23380,-9940,-53900
1008972,-109,-230,933,36820,-31920,-54110
1008992,-42,-167,933,41650,-33880,-53900
1009012,-84,-132,1046,46130,-35490,-48370
1009032,-132,-201,975,72030,-40670,-38430
