T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
1052246, -179, -12, 1028, -770, -6440, 20300
1052266, -127, 33, 999, 15400, 8120, 22470
1052286, -70, 34, 940, 9450, -8960, 17710
1052306, -161, 13, 1120, 3360, -13090, 12600
1052326, -76, 84, 953, -17010, -3500, 6300
1052346, -52, 34, 935, -16730, -20090, 4830
1052366, -43, 47, 951, -15330, -25340, 4550
1052386, -34, 46, 996, -10710, -33740, 9170
1052406, -88, -16, 1161, -6720, -35770, 13790
1052426, -56, -3, 865, 5320, 14420, 12110
1052446, -13, 15, 907, 70, 13860, 6160
1052466, -7, 31, 896, 4690, 17780, 6160
1052486, -96, 36, 984, 9520, -3430, 8260
1052506, -68, 17, 1007, 4830, -30450, 2100
1052526, -23, 49, 932, -14980, -45010, -14280
1052546, 74, 57, 844, -30380, -42560, -27580
1052566, 86, 37, 763, -30380, -36400, -26740
1052586, 39, 15, 794, -23100, -33250, -16800
1052606, 1, 47, 896, -27440, -44240, -9940
1052626, 67, 19, 924, -41790, -65100, -6230
1052646, 120, 1, 827, -34650, -72590, -490
1052666, 138, -23, 738, -5390, -60900, 5040
1052686, 55, 16, 711, 18970, -37800, 9100
1052706, 83, -13, 797, 29260, -33880, 10920
1052726, 44, 31, 1027, 39690, -56910, 16730
1052746, 68, 83, 1054, 77280, -44030, 24430
1052766, 81, 120, 1027, 94850, -12390, 20160
1052786, 101, 95, 917, 35840, 350, 6790
1052806, 125, 62, 883, -35000, -140, -1330
1052826, 106, 27, 920, -54250, -11060, 2940
1052846, 135, 32, 1024, -33250, -10500, 8120
1052866, 135, 73, 1004, 1260, 9800, 9520
1052886, 78, 63, 915, 39970, 28210, 6510
1052906, 20, 146, 918, 87220, 28280, 280
1052926, 39, 144, 989, 113750, 25340, -5530
1052946, 113, 189, 1071, 86590, 27930, -8260
1052966, 75, 176, 1049, 40180, 29400, -8330
1052986, -19, 218, 1007, -15890, 17150, -11270
1053006, 4, 189, 1033, -45220, 9170, -1820
1053026, 52, 129, 1037, -55720, 13230, 6860
1053046, 6, 130, 1023, -36470, 21210, 1260
1053066, 7, 129, 1074, -28420, 26740, -2100
1053086, 16, 115, 1123, -39200, 28630, -770
1053106, 50, 90, 1135, -44520, 18340, 1050
1053126, 54, 51, 1110, -32760, 11130, -280
1053146, 61, 76, 1066, -7980, 10850, -7770
1053166, 17, 63, 1063, 2800, 16170, -12110
1053186, 11, 87, 1047, 9730, 17360, -10010
1053206, 0, 112, 1074, 20300, 14840, -7350
1053226, -10, 102, 1084, 28350, 16520, -5110
1053246, 62, 112, 1092, 38500, 16590, -7560
1053266, -1, 131, 1047, 26250, 14910, -10710
1053286, -36, 117, 1041, -2450, 18620, -10710
1053306, -70, 103, 1076, -40040, 33600, -6230
1053326, -93, 65, 1132, -72450, 39830, 700
1053346, -61, -7, 1204, -94920, 41650, 11830
1053366, -57, -48, 1211, -86590, 40320, 17430
1053386, -70, -55, 1210, -59150, 35910, 13370
1053406, -55, -32, 1244, -31430, 27160, 9380
1053426, -53, -15, 1258, -9170, 22400, 6510
1053446, -64, 8, 1247, 2730, 15540, 3640
1053466, -70, 17, 1226, 14700, 8260, 1050
1053486, -67, 46, 1234, 25690, 4200, -210
1053506, -46, 46, 1246, 28980, 3290, -630
1053526, -42, 50, 1234, 22680, 4970, -910
1053546, -50, 58, 1229, 21840, 7280, -420
1053566, -40, 58, 1228, 23030, 10290, 630
1053586, -41, 69, 1219, 19950, 9730, 1890
1053606, -73, 82, 1173, 16170, 7420, 3080
1053626, -88, 76, 1137, 10780, 6020, 4480
1053646, -71, 58, 1104, -1260, 2870, 7980
1053666, -93, 59, 1116, -9170, 4130, 9940
1053686, -123, 76, 1069, -6160, 4760, 7910
1053706, -155, 74, 1043, 910, 1960, 4830
1053726, -143, 91, 1034, 4340, -350, 4690
1053746, -158, 73, 1020, 8680, 770, 3710
1053766, -166, 73, 1033, 10360, 6230, 4550
1053786, -149, 93, 1065, 12110, 12740, 4620
1053806, -154, 52, 1052, 4200, 16030, 3500
1053826, -159, 68, 1009, -10990, 13650, 7000
1053846, -191, 62, 1024, -11130, 10500, 5880
1053866, -170, 45, 1017, -10290, 8960, 2870
1053886, -165, 41, 992, -21140, 7000, 8400
1053906, -181, 22, 996, -23100, 7000, 10150
1053926, -178, 29, 1013, -18340, 10430, 13650
1053946, -116, 16, 1082, -12320, 13860, 11200
1053966, -159, 40, 1069, -17990, 10850, 11970
1053986, -220, 24, 1074, -13300, 5320, 10220
1054006, -213, 15, 1014, 1050, 1610, 8470
