T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
0,0.9199779249448125,0.7350557244174265,0.6576517150395779,78820,122990,6860
20,0.9199779249448125,0.7375886524822695,0.6596306068601583,90510,132510,2730
40,0.9199779249448125,0.7259371833839919,0.6543535620052771,76580,149870,17850
60,0.8990066225165563,0.6930091185410334,0.6477572559366754,65730,153020,56070
80,0.8791390728476821,0.6509625126646403,0.6477572559366754,78470,129850,112070
100,0.8233995584988962,0.5511651469098278,0.6431398416886543,142030,51030,204540
120,0.782560706401766,0.4635258358662614,0.6385224274406333,130970,46830,205170
140,0.7626931567328918,0.411854103343465,0.6253298153034301,70070,75180,174020
160,0.7875275938189845,0.4341438703140831,0.616754617414248,24290,80500,154560
180,0.8084988962472406,0.4766970618034448,0.6259894459102903,26880,37030,190190
200,0.7809050772626932,0.4457953394123607,0.6246701846965699,50400,-25410,256060
220,0.7157836644591612,0.331306990881459,0.6035620052770448,50750,-60270,290710
240,0.6672185430463576,0.2340425531914893,0.5844327176781002,23100,-61530,263690
260,0.6766004415011038,0.207193515704154,0.5679419525065963,-6370,-63770,204330
280,0.7130242825607064,0.2537993920972644,0.5824538258575198,3850,-103950,182490
300,0.7218543046357616,0.290273556231003,0.5943271767810027,33670,-167300,225820
320,0.6948123620309051,0.2760891590678824,0.5824538258575198,21910,-194250,281120
340,0.6738410596026491,0.2411347517730496,0.5613456464379947,-16660,-185010,290850
360,0.6799116997792495,0.2350557244174265,0.5547493403693932,-24430,-182420,255010
380,0.7008830022075055,0.2548125633232016,0.5653034300791556,14140,-207900,217700
400,0.6926048565121413,0.2335359675785207,0.5646437994722955,51730,-234570,210910
420,0.6639072847682119,0.1899696048632219,0.5534300791556728,53970,-235550,223020
440,0.6859823399558499,0.2401215805471124,0.554089709762533,48720,-223160,217630
460,0.7428256070640177,0.3541033434650456,0.5745382585751979,62090,-213990,189630
480,0.7913907284768212,0.4518743667679838,0.5910290237467019,82320,-204680,166740
500,0.8062913907284768,0.497467071935157,0.5982849604221636,94220,-185710,158690
520,0.8018763796909493,0.4994934143870314,0.5963060686015831,99890,-153650,148050
540,0.8029801324503312,0.5020263424518744,0.5982849604221636,106330,-111370,114310
560,0.8344370860927153,0.5516717325227963,0.612796833773087,112350,-61250,59640
580,0.8725165562913907,0.6155015197568389,0.6226912928759895,108360,-6790,12600
600,0.8956953642384106,0.6727456940222898,0.6385224274406333,95200,42420,-1890
620,0.902317880794702,0.7066869300911854,0.6431398416886543,78750,91140,10010
640,0.8934878587196468,0.7168186423505573,0.6391820580474934,66290,132650,25270
660,0.8653421633554084,0.6930091185410334,0.6292875989445911,60690,173250,19530
680,0.8167770419426048,0.6256332320162108,0.6174142480211082,66710,215600,-23660
700,0.7466887417218543,0.5,0.6035620052770448,90230,253330,-105210
720,0.6754966887417219,0.2998986828774063,0.600263852242744,126770,283920,-211190
740,0.6451434878587197,0.1129685916919959,0.5837730870712401,142240,318290,-310100
760,0.6473509933774835,0.1281661600810537,0.5455145118733509,86730,368130,-337120
780,0.641832229580574,0.2299898682877406,0.5382585751978892,32830,370580,-248640
800,0.5750551876379691,0.1879432624113475,0.5448548812664907,87920,290920,-162400
820,0.5286975717439294,0.0840932117527862,0.5474934036939314,173460,227920,-205520
840,0.5745033112582781,0.0410334346504559,0.5481530343007915,200270,219590,-351330
860,0.6032008830022075,0.0390070921985815,0.5356200527704486,173460,227500,-462490
880,0.5540838852097131,0.0243161094224924,0.5230870712401056,158130,174370,-402990
900,0.5474613686534217,0.080547112462006,0.5356200527704486,168560,77070,-268310
920,0.6169977924944813,0.1919959473150962,0.5613456464379947,174160,14140,-259210
940,0.6959161147902869,0.2821681864235055,0.5804749340369393,151830,-840,-363020
960,0.7284768211920529,0.3318135764944275,0.591688654353562,122080,-22400,-410480
980,0.7356512141280354,0.3799392097264438,0.6015831134564644,100520,-75320,-344960
1000,0.7615894039735099,0.4625126646403242,0.6121372031662269,35490,-142240,-226800
1020,0.8140176600441501,0.5638297872340425,0.6266490765171504,-13860,-128800,-251930
1040,0.8543046357615894,0.6367781155015197,0.6358839050131926,-45850,-119630,-270830
1060,0.8995584988962473,0.6965552178318136,0.6411609498680739,-51240,-126560,-262850
1080,0.9205298013245032,0.7299898682877406,0.6530343007915568,-44380,-135450,-227290
1100,0.9426048565121412,0.756838905775076,0.6569920844327177,-43050,-139930,-170660
1120,0.946467991169978,0.7659574468085106,0.658311345646438,-45360,-140700,-108290
1140,0.9448123620309052,0.767983789260385,0.6550131926121372,-52150,-129290,-46760
1160,0.9409492273730684,0.7634245187436677,0.6517150395778364,-47950,-119910,910
1180,0.9293598233995584,0.7472137791286727,0.6464379947229552,-32970,-112000,37170
1200,0.9221854304635762,0.7304964539007093,0.6444591029023746,-420,-113820,64330
