T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
924571,0.25728155339805825,0.47785547785547783,0.944467129440588,3850,2590,4550
924591,0.25533980582524274,0.47785547785547783,0.926092282564312,3010,-840,4060
924611,0.23495145631067962,0.47591297591297593,0.9322172315230707,9800,-7630,2240
924631,0.24563106796116504,0.4794094794094794,0.9113924050632911,14280,-9870,2310
924651,0.28252427184466017,0.486013986013986,0.9081257656186198,16520,-5390,2940
924671,0.29514563106796116,0.48717948717948717,0.9428338097182524,11900,-280,5320
924691,0.2815533980582524,0.48951048951048953,0.9391588403429971,5110,3570,7000
924711,0.25922330097087376,0.4891219891219891,0.9191506737443854,6930,2520,3850
924731,0.2436893203883495,0.4875679875679876,0.902817476521029,11690,-4200,770
924751,0.24660194174757283,0.4875679875679876,0.9452837893017558,11270,-4480,280
924771,0.23009708737864076,0.48834498834498835,0.939975500204165,5810,5040,1960
924791,0.24660194174757283,0.4965034965034965,0.9354838709677419,10080,6790,2240
924811,0.24563106796116504,0.4976689976689977,0.9089424254797877,20370,-1820,2380
924831,0.30970873786407765,0.5081585081585082,0.911800734993875,28840,-13790,2940
924851,0.3048543689320388,0.5120435120435121,0.9624336463862802,31710,-25620,5460
924871,0.2912621359223301,0.5155400155400155,0.9514087382605145,30450,-26530,4830
924891,0.287378640776699,0.5217560217560218,0.9424254797876684,40110,-32900,1260
924911,0.33106796116504855,0.5357420357420357,0.9575336872192731,52570,-40670,-980
924931,0.3864077669902913,0.5551670551670551,0.9632503062474479,64680,-46340,-2870
924951,0.4174757281553398,0.5738150738150738,0.9330338913842384,83440,-57050,-3080
924971,0.49320388349514566,0.6006216006216006,0.9146590445079624,132650,-105210,-4550
924991,0.43106796116504853,0.6017871017871018,0.9020008166598612,141400,-94010,-11550
925011,0.503883495145631,0.6355866355866356,0.9101674152715394,152880,-68180,-30240
925031,0.49320388349514566,0.6484071484071484,0.7978766843609637,184030,-52640,-46970
925051,0.6737864077669903,0.6985236985236986,0.814618211514904,200340,-102480,-33320
925071,0.5660194174757281,0.696969696969697,0.8926092282564312,173530,-128240,-43750
925091,0.26019417475728157,0.6274281274281275,0.8926092282564312,174790,-130620,-85400
925111,0.4203883495145631,0.6860916860916861,0.8276847692935893,174930,-113190,-96110
925131,0.5485436893203883,0.7365967365967366,0.7145773785218457,164150,-2450,-95760
925151,0.4650485436893204,0.7564102564102564,0.8113515720702328,136640,76090,-88200
925171,0.4300970873786408,0.7614607614607615,0.8236014699877501,121800,84140,-70490
925191,0.36213592233009706,0.7878787878787878,0.8889342588811759,135380,60340,-44240
925211,0.4058252427184466,0.7964257964257965,0.7623519804001634,115570,47040,-35560
925231,0.4223300970873786,0.822066822066822,0.759493670886076,85050,21630,-32130
925251,0.38737864077669903,0.8069153069153069,0.7162106982441813,73220,1680,-27580
925271,0.42135922330097086,0.8247863247863247,0.7296855859534503,80920,4900,-25760
925291,0.3864077669902913,0.8267288267288267,0.7337688852592895,101080,4900,-21000
925311,0.2970873786407767,0.9366744366744367,0.7198856676194365,111370,14490,-7770
925331,0.5019417475728155,0.8445998445998446,0.7386688444262964,120750,68670,55370
925351,0.4893203883495146,0.8426573426573427,0.7088607594936709,113820,67970,108640
925371,0.39805825242718446,0.8803418803418803,0.675786035116374,125160,4270,55720
925391,0.35631067961165047,0.8543123543123543,0.592486729277256,151970,-14770,18130
925411,0.42718446601941745,0.8966588966588966,0.6382196815026542,198170,-7910,6580
