T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
0,0.6086956521739131,0.5625,0.08571428571428572,-490,280,-770
20,0.6521739130434783,0.4791666666666667,0.14285714285714285,210,1330,-280
40,0.5652173913043478,0.4791666666666667,0.22857142857142856,210,2590,1120
60,0.0,1.0,1.0,0,2170,1260
80,0.6956521739130435,0.6041666666666666,0.37142857142857144,-630,1820,1260
100,0.5217391304347826,0.4583333333333333,0.37142857142857144,-700,1400,770
120,0.6086956521739131,0.4375,0.37142857142857144,-1540,-210,-1470
140,0.34782608695652173,0.4375,0.3142857142857143,-1750,210,-1050
160,0.5217391304347826,0.5,0.34285714285714286,-1540,1260,-140
180,0.6956521739130435,0.5,0.34285714285714286,-1470,1120,-350
200,0.6956521739130435,0.3541666666666667,0.4,-1750,770,-490
220,0.6521739130434783,0.4791666666666667,0.17142857142857143,-2030,140,-1330
240,0.5652173913043478,0.375,0.5142857142857142,-1960,840,-770
260,0.5652173913043478,0.4166666666666667,0.5142857142857142,-2310,1540,-630
280,0.21739130434782608,0.4375,0.37142857142857144,-1610,1260,-630
300,0.21739130434782608,0.4791666666666667,0.22857142857142856,-1540,420,-1260
320,0.5217391304347826,0.3125,0.34285714285714286,-1890,350,-700
340,0.391304347826087,0.3541666666666667,0.5142857142857142,-2240,-910,-1610
360,0.6521739130434783,0.5,0.2571428571428571,-1470,-350,-1050
380,0.7391304347826086,0.4375,0.2571428571428571,-560,980,70
400,0.4782608695652174,0.5,0.11428571428571428,-1400,420,-420
420,0.7391304347826086,0.3958333333333333,0.34285714285714286,-1680,280,-490
440,0.5217391304347826,0.3333333333333333,0.42857142857142855,-2240,70,-1050
460,0.34782608695652173,0.2916666666666667,0.3142857142857143,-1890,-70,-1190
480,0.5217391304347826,0.4166666666666667,0.22857142857142856,-1470,-140,-1400
500,0.6086956521739131,0.3541666666666667,0.2857142857142857,-1400,1190,-420
520,0.391304347826087,0.5,0.11428571428571428,-1540,700,-700
540,0.5652173913043478,0.3125,0.45714285714285713,-1890,-350,-1610
560,0.8695652173913043,0.4583333333333333,0.3142857142857143,-1540,-840,-1750
580,0.43478260869565216,0.2708333333333333,0.5142857142857142,-1680,-840,-1750
600,0.43478260869565216,0.5208333333333334,0.2,-1400,-840,-2100
620,0.30434782608695654,0.3541666666666667,0.4,-1190,0,-1680
640,0.21739130434782608,0.4583333333333333,0.4,-1750,-490,-1960
660,0.34782608695652173,0.3333333333333333,0.37142857142857144,-1610,-210,-1400
680,0.5217391304347826,0.4583333333333333,0.11428571428571428,-980,490,-350
700,0.43478260869565216,0.3333333333333333,0.42857142857142855,-840,210,-490
720,0.34782608695652173,0.4166666666666667,0.2,-1470,-630,-1330
740,0.30434782608695654,0.3958333333333333,0.2857142857142857,-1680,-280,-1050
760,0.5217391304347826,0.3541666666666667,0.2857142857142857,-1820,-350,-1050
780,0.43478260869565216,0.4375,0.2857142857142857,-1750,-560,-1050
800,0.7391304347826086,0.4166666666666667,0.34285714285714286,-1750,0,-910
820,0.7391304347826086,0.3541666666666667,0.5428571428571428,-2100,140,-630
840,0.5652173913043478,0.2708333333333333,0.37142857142857144,-2450,-630,-1610
860,0.6956521739130435,0.3125,0.42857142857142855,-2100,-630,-1330
880,0.391304347826087,0.375,0.37142857142857144,-1400,560,-70
900,0.5217391304347826,0.5,0.11428571428571428,-840,1050,70
920,0.4782608695652174,0.4375,0.08571428571428572,-350,1260,350
940,0.391304347826087,0.375,0.2,-1190,-420,-1330
960,0.6521739130434783,0.5,0.14285714285714285,-2030,-1260,-2170
980,0.391304347826087,0.4166666666666667,0.17142857142857143,-1400,0,-770
1000,0.34782608695652173,0.3333333333333333,0.4857142857142857,-1890,-630,-1190
1020,0.6086956521739131,0.2708333333333333,0.4,-2310,-910,-1400
1040,0.43478260869565216,0.25,0.45714285714285713,-1960,140,-280
1060,1.0,0.2916666666666667,0.5428571428571428,-1680,420,-140
1080,0.9130434782608695,0.3125,0.3142857142857143,-1400,420,-140
1100,0.7391304347826086,0.2708333333333333,0.2857142857142857,-1050,350,-1260
1120,0.6956521739130435,0.3333333333333333,0.22857142857142856,-1330,0,-1260
1140,0.5652173913043478,0.3125,0.4,-1470,350,-1120
1160,0.5652173913043478,0.2916666666666667,0.4,-1190,980,-630
1180,0.8260869565217391,0.3125,0.34285714285714286,-630,2030,350
1200,0.391304347826087,0.3333333333333333,0.42857142857142855,-1190,350,-1540
1220,0.391304347826087,0.375,0.3142857142857143,-1680,-770,-2380
1240,0.34782608695652173,0.2916666666666667,0.5142857142857142,-1470,0,-1540
